stop_id,parent_station,stop_name,route_type,name,geometry,lat,lon
800000375221,000000037639,Marienstedt,3,Bus,"c(10.892310560659, 53.582942314035)",53.582942314035,10.892310560659
800000375224,000000037640,Collinghof,3,Bus,"c(10.880512097727, 53.58420682941)",53.58420682941,10.880512097727
800000375226,000000037641,Klein Zecher,3,Bus,"c(10.872923427676, 53.577550217239)",53.577550217239,10.872923427676
800000375228,000000037642,Hakendorf,3,Bus,"c(10.850081116251, 53.585571216442)",53.585571216442,10.850081116251
800000375229,000000037643,"Hollenbek, Schoolstieg",3,Bus,"c(10.819419931871, 53.591460433214)",53.591460433214,10.819419931871
800000375231,000000085571,"Hollenbek, Alter Bahnhof",3,Bus,"c(10.822232490354, 53.601356426855)",53.601356426855,10.822232490354
800000375233,000000085572,Neu Sterley,3,Bus,"c(10.819496866503, 53.606951589108)",53.606951589108,10.819496866503
800000375235,000000099914,"Sterley, Mühlenweg",3,Bus,"c(10.813312616004, 53.614252481476)",53.614252481476,10.813312616004
800000375237,000000037647,"Sterley, Alte Dorfstraße",3,Bus,"c(10.811496992618, 53.617730707567)",53.617730707567,10.811496992618
800000375239,000000094263,"Sterley, Alfred-Harbarth-Straße",3,Bus,"c(10.817232302654, 53.622118855053)",53.622118855053,10.817232302654
800000375251,000000095223,"Schmilau, Alter Bahnhof",3,Bus,"c(10.753346582921, 53.660526473029)",53.660526473029,10.753346582921
800000375252,000000095224,"Schmilau, Waldsiedlung",3,Bus,"c(10.747569150765, 53.657645575751)",53.657645575751,10.747569150765
800000375254,000000095225,"Schmilau, Wald",3,Bus,"c(10.739685237157, 53.652081251221)",53.652081251221,10.739685237157
800000375255,000000037652,"Alt Horst, Gut",3,Bus,"c(10.770295790263, 53.638269907401)",53.638269907401,10.770295790263
800000375256,000000037653,"Alt Horst, Siedlung",3,Bus,"c(10.764447816132, 53.634015992462)",53.634015992462,10.764447816132
800000375264,000000037654,"Alt Mölln, Am Lausebusch",3,Bus,"c(10.671909159609, 53.621183054572)",53.621183054572,10.671909159609
800000375265,000000037655,"Alt Mölln, Am Brink",3,Bus,"c(10.658372931475, 53.622117324595)",53.622117324595,10.658372931475
800000375266,000000065503,"Alt Mölln, Am Horsberg",3,Bus,"c(10.657699618883, 53.627688994642)",53.627688994642,10.657699618883
800000375267,000000095511,"Hammer, Ziegeleiweg",3,Bus,"c(10.640211902561, 53.645281948456)",53.645281948456,10.640211902561
800000375268,000000037658,"Hammer, Pantener Straße",3,Bus,"c(10.635493131896, 53.648788159364)",53.648788159364,10.635493131896
800000375269,000000037659,Mannhagen,3,Bus,"c(10.612708554942, 53.642654517717)",53.642654517717,10.612708554942
800000375270,000000095540,"Nusse, Scheideweg",3,Bus,"c(10.597760581671, 53.651256878767)",53.651256878767,10.597760581671
800000375271,000000095543,"Nusse, Sportplatz",3,Bus,"c(10.592979789448, 53.653629991475)",53.653629991475,10.592979789448
800000375272,000000095542,"Nusse, Hermannstraße",3,Bus,"c(10.581723404569, 53.657193939615)",53.657193939615,10.581723404569
800000375282,000000037663,"Alt Mölln, Am Brook",3,Bus,"c(10.657886627077, 53.621279380689)",53.621279380689,10.657886627077
